Path to image,Name of the statue,Details of the statue
Slightly broken\scul62.jpg,": Vishnu in-style of Changu Narayan,800s,nepal","This print showcases the exquisite artwork of a Vishnu sculpture dating back to the 9th century in Nepal. Crafted in the distinctive style of Changu Narayan, this piece is a true testament to the artistic brilliance of ancient Nepalese craftsmen. Carved meticulously out of schist, this Vishnu sculpture stands at an impressive overall height of 43.8 cm (17 1/4 in. ), making it a remarkable representation of divine beauty and grace. The attention to detail is evident in every aspect, from the intricately carved facial features to the delicate adornments that embellish his attire. Vishnu, one of Hinduism's principal deities, is depicted here with four arms symbolizing his omnipotence and ability to protect humanity. His serene expression exudes tranquility and wisdom, while his elaborate crown signifies his divine status. The significance of this artwork lies not only in its aesthetic appeal but also in its historical value. It offers us a glimpse into Nepal's rich cultural heritage and serves as a reminder of the profound influence religion has had on art throughout history. As we admire this stunning photograph print from Liszt Collection, let us appreciate the skillful craftsmanship that has preserved such treasures for centuries. May it inspire us to delve deeper into our own cultural roots and foster an appreciation for art's power to transcend time and connect us with our past."
Slightly broken\scul63.jpg,Panchamukhi Shiva from the 10th-century A.D.,"represents the fierce form of the God influenced by Tantric practices. Four-handed Shiva is seated in lalitasana with his principal hands holding abhaya, the gesture of reassurance and varada the gesture of munificence while his upper hands are holding axe and deer. The image is wearing a garland of severed human heads.
Panchmukhi Shiva:
•	Panchmukhi means ""five-faced"" and Shiva is the Hindu god of transformation and destruction.
•	So, a panchmukhi Shiva statue depicts Shiva with five faces. Each face represents a different aspect of Shiva."
Slightly broken\scul64.jpg,"statue is a buff sandstone figure of Salabhanjika,Madhya Pradesh, India","The present statue represents a remarkably defined sandstone figure of a salabhanjika. Salabhanjika refers to beautifully idealized female figures standing beneath, or often intertwined with, a tree. Similar to a yakshi or apsara, salabhanjika are semi-divine celestial spirits commonly carved in sandstone to adorn exterior and interior temple walls across north India. Salabhanjika can be found in various poses, such as dancing, playing a musical instrument, or grooming as in the present example. Symbols of fertility, their feminine features are often highly exaggerated and richly adorned.
Human images have been incorporated into Indian architecture since at least the first century BCE. From the fourth through sixth centuries CE, as sculptural traditions developed under the Gupta Empire, the human form began to take more autonomous, naturalized, and individualist states. With the Gupta Empire spanning widely across the northern Indian subcontinent, artistic production at the time was marked by relative uniformity across vast geographical boundaries. After the downfall of the empire in the sixth century, distinct regional styles arose and by the eighth century regional stylizations had diversified to the point where scholars are able to speculate on a sculpture’s origins. In relation to figures of salabhanjika, apsara and yakshi, this distinction is evident in the female body form; as the temple sites move eastward into Madhya Pradesh and Uttar Pradesh, the center of gravity shifts from weighted hips to expanded breasts, such as the example here.
The celestial female in the present example is postured beneath a mango tree in a languid pose. It is said that the touch of the salabhanjika bears fruit to the tree, representing both earthly fertility and the life-giving force of the divine. The Shilpa Prakasha (""Light on Art""), an Orissan text from the eleventh century, emphasizes that temple walls must be decorated with yakshi and salabhanjika to ensure the temple will be fruitful. Figures with similarly weightless mango canopies are used as bracket figures in the interior of the popular temples at Khajuraho, the capital of the Chandella Empire."
Slightly broken\scul65.jpg,"Lord Harihar, 12th Century CE. Bhopal Museum
","Splits within a religion is nothing new. Pharaoh Akhnatan broke away from the traditional Egyptian religion in ancient Egypt and established his own cult of Ra, the Sun God. In 1st Century CE Buddhism split into two schools : the Hinyana and the Mahayana.  Hinduism is no exception.  In ancient India we had two sects: the Shaivites and the Vaishnavites. Those who believed in Lord Shiva and and those who believed in Lord Vishnu.  Like the Shias and the Sunnis,  these two groups in Hinduism also fought with each other, trying to prove the superiority of one God over the other. 
            But in order to survive as a human race, we have learned to synthesis opposing views. Lord Harihar is a byproduct of the synthesis of Lord Shiva on the left and Lord Vishnu on the right side of the viewer. Hence the trident and the Nandi, the bull on the left and the disc and the conch shell on the right. 
            The debate within Hinduism is also between the aesetic and the householder, between the pure intellect  ( Shiva) and the emotions ( Vishnu), between the one who abandons the society ( Shiva) and one who incarnates to save the society  (Vishnu). But we did not waste too much time trying to annihilate each others' sect. We assimilated. And we have thrived as a 5000 year old civilisation. 
             Perhaps Harihar holds the solution to the problem of ""clashes of the civilisations "". On the one hand we are in the globalisation age, yer there is fight and war all around us. We over - react to every statement;  we fight over the silliest issues only trying to prove that our Gods are superior to theirs. Today the issue posed by Galib, the great Urdu poet is  relevant: 
"" Gar tujh bin nahi koi maauzood/ phir ye hangamma e-Khuda kya hai?"" ( If there is no one but One God, then what is this fight about?). 
             Time has come to revive the concept of synthesis, of peace, of prosperity.  For the path of confrontation leads to total annihilation."
Slightly broken\scul66.jpg,"Apsara,a member of a class of celestial beings in Hindu ","The apsaras are described to be beautiful, youthful and elegant, and are said to be able to change their shape at will. There are two types of apsaras—laukika (worldly) and daivika (divine). They are great in the art of dancing, and often wives of the gandharvas, the court musicians of Indra. The apsaras reside in the palaces of the gods and entertain them by dancing to the music made by the Gandharvas"
Slightly broken\scul67.jpg,"kinnari vina , is a historical veena, a tube zither with gourds attached to act as resonators and frets","It was played in India into the late 19th century and was documented by two European artists.[1][2] The instrument dates back into medieval times (documented in the 13th century) and possibly as far back as 500 C.E. It is closely related to the Alapini Vina and Eka-tantri Vina, the instruments having coexisted in medieval times.Along with the alapini vina and eka-tantri vina, the kinnari vina was mentioned by Śārṅgadeva in his Sangita Ratnakara "
Slightly broken\scul68.jpg,"Surasundari (Alasa Kanya),Krishna Temple, 16th century, Vijayanagara.","Alasa Kanya (Sanskrit: अलसकन्या, romanized: Alasakanyā) is a form of Surasundari in Indian iconography, which portrays an indolent female or maiden.[1][2] There are several forms and representation of this imagery, observed mainly in temple architecture from medieval period in the form of sculptures. It is believed these female representations are a dedication to Devi and her characteristics. Several such forms adorn the temples of Odisha.[3]

Alasa Kanya is depicted in an erotic manner, to enchant man with their playful glances. Common posture of Alasa Kanya is with her hands above her head in uromandali hasta, however their postures change in accordance to their position or placement in the temple.[5] In some instances alasa kanya figures are standing together in a row, this is referred as Nari Bandhan by Shilpa Prakasha.[3] Different postures of Alasa Kanya is derived from Alasa Yantra or a magical diagram which depicts the line for varying postures.[6]"
Slightly broken\scul69.jpg,"unusual sculpture,created in Thailand","combines disparate stylistic elements from the Khmer empire and the Indonesian maritime empire of Shrivijaya. The physiognomy bears some relation to generic representations of the late-twelfth century Khmer ruler Jayavarman VII but is so particularized that it must depict a specific, though unknown, person, perhaps a local ruler in peninsular Thailand."
Slightly broken\scul70.jpg,Two stone sculptures of goddesses in the collections of the Detroit Institute of Arts (DIA) ,"once shared a temple in northern Tamil Nadu, together with other similar goddesses, the god Shiva, and perhaps other deities.1 Slightly larger than life-sized, these fierce, tantric goddesses combine features identified with an idealized female beauty together with elements that signal danger. They have voluptuous bodies and intricately carved jewelry, but they also wear adornments made of writhing snakes and they hold threatening objects, such as skull cups and weapons."
Slightly broken\scul71.jpg,"Maulavi Qazi Sayyid Muhammad Azimul, a Muslim religious instructor","came across a large block of stone along the edge of the River Ganges while searching for a grinding stone. [1] As he began to dig away the dirt, he discovered that the block was, in fact, a pedestal for a giant, polished stone statue. When unearthed and set upright, the impressive image, about five feet two inches tall, must have awed Maulavi. The monumental sculptural figure came to be identified as a Yakshi, a female nature spirit, who embodies fertility and prosperity with her wide hips, full breasts, and an enigmatic smile. "
Slightly broken\scul72.jpg,Yakshi pressing her breast Buddhist Indian Statue Matura school of sculpture,"The sculpture (henceforth, the “Didarganj Yakshi”) was carved from 
Chunar sandstone
, which has been burnished to create a lustrous polish on the sculpture's surface (more on this below). The frontal stance of the Didarganj Yakshi does not distribute her weight equally on both legs; her right knee bends slightly while her weight shifts onto her left leg. Due to this, the posture of the legs gently carries through to an unusual movement in the upper body, as the figure bends her torso slightly forward. The forward movement of the body is naturalistic and demonstrates the skillfulness of the artist of the Didarjang Yakshi in capturing the body’s movement in the stone. She has delicate features, with arched eyebrows, large eyes, visible cheekbones, and small lips; however, her nose is chipped off—this damage may have been caused while she remained undiscovered at the bottom of the River Ganges."
Slightly broken\scul73.jpg,sculptures portray Yakshi's female representatives of the half-legendary people named Yaksha's,"According to legends ascetics lived in their forest hermitages (ashram) in couples (mithuna). So I can adduce web versions of the famous Indian epos Ramayana, the very touching story of female loyal love Savitri and Satyavan, the myth on the god of ascetics and his consort Sati & Shiva who lived in the Himalayas — the homeland of Yakshas, and finally the legend of Upagupta: The Buddhist Monk  portraying a Mathura sculptor carving sculpture of a beautiful female ascetic."
Slightly broken\scul74.jpg,"Bodhisattva Padmapani, mural painting by an unknown artist ","is believed to date from the late 5th century. The mural is in Cave 1 of the Ajanta Caves, located in Maharashtra state, western India, and it reflects the beauty and classical sophistication of the arts of India’s Gupta dynasty.
The Ajanta Caves were carved out of rock cliffs over a period of six centuries and functioned both as a monastic retreat and as a place to worship. "
Slightly broken\scul75.jpg,"Tara, 11th century sculpture, Museum, Delhi, India.","Tara, a female divinity prominently conceived during the 7th-12th century in India. She has a different appearance in Hinduism and Buddhism; as a yogini among the ten Mahavidyas in Hindu Tantra (Shaktism), and Tara as a female Buddha in Buddhism (Vajrayana). In Buddhism, ‘Green Tara’ and ‘White Tara’ are two forms quite popular. Regarding her origin, the Tibetan mythology explains, she originated from the tears of Buddhist god Bodhisattva Avalokitesvara. Being a mother of liberation, she represents the virtues of success in work and achievements and embodies various qualities of the feminine principles. Tara is believed to be a source of the female aspect of the universe, by giving birth to warmth, compassion and relief from unpleasant karma as experienced in the cyclic existence."
Slightly broken\scul76.jpg,sculpture Durga battling the buffalo demon.,"Imagine the anguish of the gods as the end of their reign neared. A seemingly invincible buffalo demon, Mahishasura, had already conquered the world and seemed poised for victory over the heavens. Could he be stopped? It seemed unlikely — Mahishasura had, after all, received a special gift from the god Brahma — an assurance that the demon could never be killed by man or god.
Just then, when all seemed lost, a great mass of blazing energy began to radiate from the gods. It moved and coalesced until finally, shakti (“force” in sanskrit—a formless energetic entity that is feminine and divine) materialized. She was a sight to behold: beautiful, strong, and riding a fierce lion, she was endowed with the weapons and the power of each of the gods.
The buffalo demon Mahishasura was quite sure that a woman could never defeat him and promptly proposed marriage. Her cool rejection led to battle and in the end, the goddess effortlessly pierced him with a trident, decapitated him, and sent his army scurrying. With the heavens and the world saved, the goddess promised to help the gods and the earth whenever she was needed."
Slightly broken\scul77.jpg,The sculpture portrays a tender scene - a mother lovingly guiding her child,"This masterpiece now finds its home in the Cleveland Museum of Art.
Art historians believe it was one of a set of seven or eight similar statues, likely positioned near entrances of Hindu temples. These goddesses may have served as protectors, offering blessings and ensuring the well-being of those entering the sacred space."
Slightly broken\scul78.jpg,", Garuda is known as Lord Vishnu's mount and symbolizes strength, loyalty, and vigilance","In Buddhist tradition, Garuda represents wisdom and protection against evil forces.
The Garuda sculpture is a remarkable representation of this mythical creature and a testament to the rich artistic heritage of Madhya Pradesh, India. Unfortunately, the sculpture is currently in a private collection and not accessible to the public."
Slightly broken\scul79.jpg,Female apsara ,"It is sculpture of apsara located at bhuleshwar temple, Pune ."
Slightly broken\scul80.jpg,"Kameshvari. Chausath Yogini Temple, Hirapur","The female version of Kama, god of love and desire, is seen here as she draws the bow, his primary attribute. Her vehicle should be a parrot, but here is some other animal."
Slightly broken\scul81.jpg,Hindu god Vishnu projects an image of strength and stability,"his sturdy body standing firmly and his four arms radiating symmetrically to either side. Revered by his devotees as both personal savior and cosmic preserver, he holds a wheel-shaped weapon (used to defend the righteous against enemies), a conch shell (the primordial sound of which is auspicious), a mace (a scepter-like weapon symbolizing Vishnu’s power), and a spherical object, which for Southeast Asian sculptures is usually interpreted as the orb of the earth, but which may have its origins as a schematic representation of the lotus (Vishnu’s fourth attribute in South Asian images and iconographical texts). "
Slightly broken\scul82.jpg,celestial female apsara with a scorpion on her leg,"It is from Khajuraho, India and dates back to the 11th century AD. The material used is buff sandstone.
The apsara is a beautiful heavenly nymph or dancer, often depicted in Indian art. They are associated with the divine and the celestial, and are known for their beauty, grace, and ability to entertain. The scorpion on the apsara's leg is an interesting detail that has been interpreted in a number of ways. Some scholars believe that it represents danger or temptation, while others believe that it is a symbol of fertility or transformation."
Slightly broken\scul83.jpg,"stone carving of a woman holding a book, not a snake. It is likely a depiction of Saraswati","the Hindu goddess of knowledge, music, arts, wisdom, and learning.
The image you sent is titled  “Starożytne Rzeźby Artystyczne Arthuna Temple Rajsthan India” which translates to “Ancient Artistic Sculptures of Arthuna Temple, Rajasthan, India”  This  image can be found on ​.
Saraswati is often depicted seated on a white lotus, playing a string instrument called a veena. She is also sometimes shown holding a book or scroll, as in this image. The lotus flower symbolizes purity, knowledge, and enlightenment, while the veena represents the power of music and the arts. The book or scroll represents learning and wisdom.
The Arthuna Temple, located in Rajasthan, India, is dedicated to Shiva. The temple complex includes a number of shrines and statues, including this one of Saraswati. The temple is believed to have been built in the 11th or 12th centuries CE."
Slightly broken\scul84.jpg,carving of a woman in stone evokes a sense of mystery and a lost past,"The fragmented image prompts the viewer to imagine the complete figure and the story it might tell. These carvings can be found in temples, tombs, and other historical sites around the world. 
easons for the brokenness can vary. The carving could be weathered by time and the elements, or it could have been deliberately damaged. In some cases, the broken pieces of a relief carving may be scattered, making it difficult or impossible to reconstruct the original image."
Slightly broken\scul85.jpg,"The Great Trinity: Brahma, Vishnu, and Shiva","Hinduism upholds the belief in a divine trinity, comprising Brahma, Vishnu, and Shiva. Together they are responsible for the creation, sustenance, and destruction of the universe, respectively. Among them, Lord Vishnu is considered the preserver, Lord Shiva the destroyer, and Lord Brahma the creator. These roles may seem disparate, but they form an inseparable cycle that governs the cosmic order."
Slightly broken\scul86.jpg,‘Purusha Vidambini’ is the name of the idol,"The drummer is dancing and playing at the same time. He has a drum in his left hand, which he is hitting with a stick in his right hand. Assistant artists are also playing the drums at the bottom of the idol. ‘Purusha Vidambini’ is the name of the idol. On the idol’s face, we can also notice his mustache and beard. In the aureole, there are lovely carvings of creepers and flowers."
